Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.3207    -334.7419       3.4212   362.6
0.0010        -331.3214    -334.6740       3.3526   355.3
0.0015        -331.3193    -334.5219       3.2026   339.4
0.0020        -331.3160    -334.3234       3.0074   318.7
0.0025        -331.3127    -334.1375       2.8248   299.4
0.0030        -331.3107    -334.0188       2.7081   287.0
0.0035        -331.3103    -333.9946       2.6843   284.5
0.0040        -331.3108    -334.0563       2.7455   291.0
0.0045        -331.3101    -334.1753       2.8652   303.6
0.0050        -331.3091    -334.3255       3.0164   319.7
0.0055        -331.3079    -334.4806       3.1726   336.2
0.0060        -331.3075    -334.6086       3.3011   349.8
0.0065        -331.3055    -334.6725       3.3669   356.8
0.0070        -331.3018    -334.6528       3.3511   355.1
0.0075        -331.2957    -334.5633       3.2675   346.3
0.0080        -331.2886    -334.4542       3.1656   335.5
0.0085        -331.2823    -334.3926       3.1103   329.6
0.0090        -331.2786    -334.4302       3.1516   334.0
0.0095        -331.2778    -334.5765       3.2987   349.6
0.0100        -331.2785    -334.7924       3.5139   372.4
0.0105        -331.2791    -335.0123       3.7332   395.6
0.0110        -331.2784    -335.1736       3.8952   412.8
0.0115        -331.2766    -335.2387       3.9620   419.9
0.0120        -331.2737    -335.2030       3.9293   416.4
0.0125        -331.2716    -335.0913       3.8197   404.8
0.0130        -331.2705    -334.9377       3.6672   388.6
0.0135        -331.2703    -334.7747       3.5043   371.4
0.0140        -331.2710    -334.6266       3.3556   355.6
0.0145        -331.2710    -334.5150       3.2441   343.8
0.0150        -331.2716    -334.4640       3.1924   338.3
0.0155        -331.2736    -334.4850       3.2114   340.3
0.0160        -331.2767    -334.5691       3.2924   348.9
0.0165        -331.2805    -334.6900       3.4096   361.3
0.0170        -331.2835    -334.8154       3.5320   374.3
0.0175        -331.2870    -334.9208       3.6338   385.1
0.0180        -331.2903    -334.9899       3.6996   392.1
0.0185        -331.2944    -335.0149       3.7205   394.3
0.0190        -331.2986    -334.9919       3.6933   391.4
0.0195        -331.3035    -334.9229       3.6193   383.6
0.0200        -331.3077    -334.8132       3.5056   371.5
0.0205        -331.3110    -334.6835       3.3725   357.4
0.0210        -331.3143    -334.5686       3.2543   344.9
0.0215        -331.3184    -334.5031       3.1846   337.5
0.0220        -331.3237    -334.5044       3.1807   337.1
0.0225        -331.3310    -334.5659       3.2349   342.8
0.0230        -331.3396    -334.6515       3.3119   351.0
0.0235        -331.3473    -334.7072       3.3599   356.1
0.0240        -331.3537    -334.6903       3.3366   353.6
0.0245        -331.3571    -334.5895       3.2324   342.6
0.0250        -331.3587    -334.4343       3.0756   325.9
0.0255        -331.3598    -334.2786       2.9187   309.3
0.0260        -331.3619    -334.1813       2.8194   298.8
0.0265        -331.3652    -334.1782       2.8129   298.1
0.0270        -331.3705    -334.2689       2.8983   307.2
0.0275        -331.3757    -334.4227       3.0469   322.9
0.0280        -331.3802    -334.6000       3.2198   341.2
0.0285        -331.3843    -334.7698       3.3855   358.8
0.0290        -331.3878    -334.9147       3.5269   373.8
0.0295        -331.3910    -335.0301       3.6391   385.7
0.0300        -331.3955    -335.1167       3.7212   394.4
0.0305        -331.4006    -335.1740       3.7734   399.9
0.0310        -331.4070    -335.2004       3.7934   402.0
0.0315        -331.4131    -335.1908       3.7777   400.3
0.0320        -331.4197    -335.1503       3.7306   395.4
0.0325        -331.4268    -335.0893       3.6625   388.1
0.0330        -331.4337    -335.0216       3.5879   380.2
0.0335        -331.4414    -334.9662       3.5249   373.6
0.0340        -331.4499    -334.9366       3.4866   369.5
0.0345        -331.4592    -334.9348       3.4756   368.3
0.0350        -331.4692    -334.9535       3.4842   369.3
0.0355        -331.4790    -334.9804       3.5014   371.1
0.0360        -331.4893    -335.0076       3.5182   372.9
