# a0[Å], E_Au[eV], E_Pt[eV], E_Rh[eV]
3.5000000000, 1.3172942723, -3.8274097284, -6.1517201465
3.5050251256, 1.2205103315, -3.8986909974, -6.1923220056
3.5100502513, 1.1253029166, -3.9686484137, -6.2320189275
3.5150753769, 1.0317475333, -4.0372242447, -6.2708105848
3.5201005025, 0.9398536626, -4.1044075247, -6.3085995588
3.5251256281, 0.8495271485, -4.1702967880, -6.3455267882
3.5301507538, 0.7607373070, -4.2348980514, -6.3815989070
3.5351758794, 0.6735843152, -4.2981256937, -6.4166958051
3.5402010050, 0.5878976569, -4.3601182697, -6.4509607708
3.5452261307, 0.5036553686, -4.4209020176, -6.4844266546
3.5502512563, 0.4209634992, -4.4804006252, -6.5170011269
3.5552763819, 0.3396453452, -4.5387309261, -6.5488053349
3.5603015075, 0.2598028573, -4.5958247926, -6.5797447115
3.5653266332, 0.1814263923, -4.6516765551, -6.6098215784
3.5703517588, 0.1044326808, -4.7063818626, -6.6391322862
3.5753768844, 0.0287379194, -4.7599742546, -6.6677053606
3.5804020101, -0.0455801508, -4.8124090300, -6.6954722837
3.5854271357, -0.1185216398, -4.8636999369, -6.7224415700
3.5904522613, -0.1901847128, -4.9139117233, -6.7487072959
3.5954773869, -0.2605592756, -4.9630298249, -6.7742235525
3.6005025126, -0.3296334254, -5.0110520010, -6.7989990337
3.6055276382, -0.3974246904, -5.0579953650, -6.8230252636
3.6105527638, -0.4640160596, -5.1039132946, -6.8463727732
3.6155778894, -0.5294388051, -5.1488312666, -6.8690565947
3.6206030151, -0.5935973536, -5.1926874484, -6.8909861714
3.6256281407, -0.6566180658, -5.2355827279, -6.9122776951
3.6306532663, -0.7184357911, -5.2774735013, -6.9328899691
3.6356783920, -0.7790167907, -5.3183114433, -6.9527525683
3.6407035176, -0.8385615577, -5.3582706188, -6.9720684832
3.6457286432, -0.8969615485, -5.3972650253, -6.9907211725
3.6507537688, -0.9542925303, -5.4353362731, -7.0087506999
3.6557788945, -1.0105528322, -5.4724896159, -7.0261526463
3.6608040201, -1.0657195256, -5.5087329918, -7.0429305346
3.6658291457, -1.1198213288, -5.5440735462, -7.0590976908
3.6708542714, -1.1729067542, -5.5785459059, -7.0746791969
3.6758793970, -1.2249056837, -5.6121030087, -7.0896377092
3.6809045226, -1.2759456432, -5.6448344686, -7.1040549518
3.6859296482, -1.3259731487, -5.6767115559, -7.1178843091
3.6909547739, -1.3750505047, -5.7077826615, -7.1311892971
3.6959798995, -1.4231235728, -5.7380070226, -7.1438998320
3.7010050251, -1.4703009168, -5.7674532308, -7.1561022771
3.7060301508, -1.5165222816, -5.7960910731, -7.1677538454
3.7110552764, -1.5617819140, -5.8239073528, -7.1788343543
3.7160804020, -1.6061325313, -5.8509569774, -7.1894055251
3.7211055276, -1.6496351969, -5.8772760282, -7.1995115386
3.7261306533, -1.6921897874, -5.9028083145, -7.2090627688
3.7311557789, -1.7339491794, -5.9276397220, -7.2181598982
3.7361809045, -1.7747545590, -5.9516779669, -7.2266898286
3.7412060302, -1.8148161202, -5.9750644890, -7.2348318801
3.7462311558, -1.8540402439, -5.9977294843, -7.2424815479
3.7512562814, -1.8923688073, -6.0196574446, -7.2496216981
3.7562814070, -1.9299702161, -6.0409475875, -7.2563506211
3.7613065327, -1.9667857953, -6.0615708202, -7.2626410383
3.7663316583, -2.0028079974, -6.0815091250, -7.2684607985
3.7713567839, -2.0380135161, -6.1007686556, -7.2738248638
3.7763819095, -2.0724410964, -6.1193673049, -7.2787365579
3.7814070352, -2.1061283545, -6.1373290780, -7.2832328859
3.7864321608, -2.1391490043, -6.1547279696, -7.2873991219
3.7914572864, -2.1714198469, -6.1714806826, -7.2911117798
3.7964824121, -2.2029439059, -6.1876062399, -7.2944039936
3.8015075377, -2.2337897786, -6.2031646867, -7.2973350660
