# T[K], S_O2[eV/K], S_CO[eV/K]
100.0000000000, 0.0018011040, 0.0017219611
101.0000000000, 0.0018041051, 0.0017249622
102.0000000000, 0.0018070766, 0.0017279337
103.0000000000, 0.0018100191, 0.0017308762
104.0000000000, 0.0018129332, 0.0017337903
105.0000000000, 0.0018158194, 0.0017366765
106.0000000000, 0.0018186783, 0.0017395354
107.0000000000, 0.0018215103, 0.0017423674
108.0000000000, 0.0018243159, 0.0017451730
109.0000000000, 0.0018270957, 0.0017479528
110.0000000000, 0.0018298501, 0.0017507073
111.0000000000, 0.0018325796, 0.0017534367
112.0000000000, 0.0018352846, 0.0017561417
113.0000000000, 0.0018379656, 0.0017588227
114.0000000000, 0.0018406230, 0.0017614801
115.0000000000, 0.0018432571, 0.0017641142
116.0000000000, 0.0018458684, 0.0017667255
117.0000000000, 0.0018484573, 0.0017693144
118.0000000000, 0.0018510242, 0.0017718813
119.0000000000, 0.0018535694, 0.0017744265
120.0000000000, 0.0018560934, 0.0017769505
121.0000000000, 0.0018585963, 0.0017794534
122.0000000000, 0.0018610787, 0.0017819358
123.0000000000, 0.0018635408, 0.0017843979
124.0000000000, 0.0018659830, 0.0017868401
125.0000000000, 0.0018684056, 0.0017892626
126.0000000000, 0.0018708088, 0.0017916659
127.0000000000, 0.0018731931, 0.0017940502
128.0000000000, 0.0018755586, 0.0017964157
129.0000000000, 0.0018779058, 0.0017987629
130.0000000000, 0.0018802348, 0.0018010919
131.0000000000, 0.0018825460, 0.0018034031
132.0000000000, 0.0018848396, 0.0018056967
133.0000000000, 0.0018871159, 0.0018079729
134.0000000000, 0.0018893752, 0.0018102322
135.0000000000, 0.0018916176, 0.0018124746
136.0000000000, 0.0018938435, 0.0018147005
137.0000000000, 0.0018960531, 0.0018169101
138.0000000000, 0.0018982466, 0.0018191036
139.0000000000, 0.0019004243, 0.0018212813
140.0000000000, 0.0019025864, 0.0018234434
141.0000000000, 0.0019047331, 0.0018255901
142.0000000000, 0.0019068647, 0.0018277216
143.0000000000, 0.0019089812, 0.0018298381
